links	description_jp	description	name_jp	name	coordinates	type	type
https://www.youtube.com/post/UgkxO2_oo7SgnKM3EEjaSecX_UPD76k-bN_-	自転車で島を巡ると、グッとくる裏路地を見つけた。　In 小豆島🗾	While cycling around the island, I stumbled upon a back alley that really moved me. - in Shoudoshima 🗾	小豆島	Shodoshima	34.50575412603945, 134.30469910725583	scenery	others
https://x.com/akaihaato/status/1963764353712230501	ブラック珈琲で大人気分　いつの間に、甘い☕️		---				
https://x.com/akaihaato/status/1963646798440120693	深夜のトンネルには、ご注意を	Watch out for tunnels late at night.	旧小峰トンネル	Old Komine Tunnel	35.7154937933538, 139.23195938360286	horror	horror
https://www.youtube.com/post/UgkxgUoXFhgLJFEHgg_VeTWee4lNr-LEsJXj	都会の空を見上げると、船旅をしている江戸っ子がいた。　In 東京🗾	When I looked up at the city sky, I saw an Edo-period traveler sailing through it - in Tokyo 🗾	35.64661471851083, 139.70492617158362	35.64661471851083, 139.70492617158362	35.64661471851083, 139.70492617158362	scenery	others
https://x.com/akaihaato/status/1962654618565136393	朝食後に、部屋に戻るとお茶が用意されており　ティーカップがあまりにも素敵で見惚れました。　蝉の声を聴きながら、ゆっくり出来ました。…	After breakfast, I returned to my room to find tea already prepared. The teacup was so exquisite, I couldn't help but be captivated by it. With the sound of cicadas in the background, I was able to relax completely...	千歳楼（養老町）	Senzairou, Yoro	35.28438274745352, 136.5411246004391	hotel	hotel
https://x.com/akaihaato/status/1962651447163761073	忘れられない、朝のひととき。	An unforgettable morning moment.	千歳楼（養老町）	Senzairou, Yoro	35.28438274745352, 136.5411246004391	hotel	hotel
https://www.youtube.com/post/Ugkxjod5Sf0J0flJRHXMeotWb5-WSSKxJ-A1	学校の屋上から海を眺めてるみたい❕　In 香川県🗾	It feels like I'm gazing at the sea from the school rooftop❕ - in Kagawa Prefecture 🗾	高松〜小豆島 土庄 フェリー	Ferry, Takamatsu - Tonosho (Shodoshima)	34.47973424162642, 134.13428031433767	sail	sail
https://youtu.be/SC6mSzawuLA?t=532	【心霊】はあちゃま、心霊スポット巡礼ツアーへ行く！？【ホラー】	[Paranormal] Haachama goes on a haunted spot pilgrimage tour!? [Horror]	旧小峰トンネル	Old Komine Tunnel	35.7154937933538, 139.23195938360286	horror	horror
https://youtu.be/SC6mSzawuLA?t=262	【心霊】はあちゃま、心霊スポット巡礼ツアーへ行く！？【ホラー】	[Paranormal] Haachama goes on a haunted spot pilgrimage tour!? [Horror]	小津町バス停	Otsumachi bus stop (小津町バス停)	35.678604252564995, 139.232556335888	horror	horror
https://youtu.be/SC6mSzawuLA?t=48	【心霊】はあちゃま、心霊スポット巡礼ツアーへ行く！？【ホラー】	[Paranormal] Haachama goes on a haunted spot pilgrimage tour!? [Horror]	新井踏切（湯の花トンネル）	Arai railroad crossing (Inohana Tunnel Memorial Monument)	35.63982862941475, 139.25685415104516	horror	horror
https://www.youtube.com/post/UgkxsfYDGviNvF1rA6wOo30SuOOul7-weMQ7	蒸し暑さも、蝉の声も、夏かしいね〜🚃　In 東京🗾	The muggy heat and the sound of cicadas: they're all so nostalgically summer-like 🚃 - in Tokyo 🗾	等々力駅	Todoroki Station	36.72569985510373, 139.69238608339808	station	station
https://x.com/akaihaato/status/1961945113204273317	朝に見る琴電が神々しかった	The Kotoden train in the morning looked absolutely divine.	琴電琴平駅	Kotoden-Kotohira Station	34.190895968015774, 133.8193059814612	station	station
https://youtu.be/vNNJG2wtd_Y?t=5337	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	二十四の瞳映画村	Twenty-Four Eyes Movie Studio	34.44585637528138, 134.28543715566548	attraction	attraction
https://youtu.be/vNNJG2wtd_Y?t=4397	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	三v日月堂（土庄）	Mivkadukido (三v日月堂 土庄)	34.485583721618426, 134.1845439425985	cafe	cafe
https://youtu.be/vNNJG2wtd_Y?t=4316	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	kawata（土庄）	Salon Kawata, Tonosho	34.483461333881465, 134.18514447912247	scenery	others
https://youtu.be/vNNJG2wtd_Y?t=3776	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	約束の丘展望台（土庄）	Angel Road Observation Deck, Tonosho	34.47790581822073, 134.18900589861786	attraction	attraction
https://youtu.be/vNNJG2wtd_Y?t=3724	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	エンジェルロード（土庄）	Angel Road, Tonosho	34.4781589619704, 134.1887674607193	attraction	attraction
https://youtu.be/vNNJG2wtd_Y?t=2098	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	吉岡治 顕彰碑（土庄）	Osamu Yoshioka Honor Monument (吉岡治顕彰碑)	34.488975343949264, 134.17350017716245	scenery	others
https://youtu.be/vNNJG2wtd_Y?t=1522	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	小豆島国際ホテル	Shodoshima International Hotel	34.47943318824366, 134.18768073172896	hotel	hotel
https://youtu.be/vNNJG2wtd_Y?t=985	【 旅 】ちゃまと旅する！香川の小豆島巡りだあああ～～～！！！🚲✨（後編）【ホロライブ/赤井はあと】	[Trip] (Second half) Have a trip with chama! Hopping around Kagawa's Shoudoshima!!!✨🚃	高松港	Takamatsu Port	34.354032376377745, 134.04887611552942	sail	sail
https://youtu.be/jRm8sne9CvU?t=8428	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃（前編）【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	ご利益や（琴平）	Goriyakuya, Kagawa	34.184676394333415, 133.81557854052772	cafe	cafe
https://youtu.be/jRm8sne9CvU?t=6345	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	ことひら温泉 琴参閣	Kotosankaku, Kotohira Onsen	34.19014575097455, 133.81689052635554	hotel	hotel
https://youtu.be/jRm8sne9CvU?t=5317	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	カフェテラス グレコ	Greko, Takamatsu	34.33759399835561, 134.04899049744682	cafe	cafe
https://youtu.be/jRm8sne9CvU?t=4614	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	おととせんべい象屋元蔵	Ototo-Senbei Kisaya-motozo, Futsukacho	34.33383832290615, 134.0481214162948	shop	shop
https://youtu.be/jRm8sne9CvU?t=3324	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	栗林公園	Ritsurin Garden	34.33010735088123, 134.04578032578814	attraction	attraction
https://youtu.be/jRm8sne9CvU?t=3310	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	高松丸亀町壱番街前ドーム広場	Marugamemachi Dome Square	34.34740586258136, 134.05063419649758	shop	shop
https://youtu.be/jRm8sne9CvU?t=2118	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	南珈琲店	Minami Coffee, Takamatsu	34.34086442893536, 134.04932275010322	cafe	cafe
https://youtu.be/jRm8sne9CvU?t=1814	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	喫茶城の眼	Shiro no Me, Takamatsu	34.34457147044743, 134.04873610846914	cafe	cafe
https://youtu.be/jRm8sne9CvU?t=1456	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	コーヒールーム ミニ	Coffee Room Mini (コーヒールーム ミニ)	34.34471063319478, 134.04883432355015	cafe	cafe
https://youtu.be/jRm8sne9CvU?t=1230	【 旅 】ちゃまと旅する！香川で大冒険だあああああああああ！！！✨🚃【ホロライブ/赤井はあと】	[Trip] (First half) Have a trip with chama! Great adventure in Kagawa!!!✨🚃	史跡高松城跡玉藻公園	Takamatsu Castle Tamamo Park	34.350510543543216, 134.05165098346106	attraction	attraction
https://www.youtube.com/post/UgkxsGzPjgmmdJf251aCIoZWpGA62UvPrMV6	ちょこんと乗ってる金平糖が、愛おしい。　In 栃木県🗾	The little konpeitou sitting on top is just so adorable. - in Tochigi Prefecture 🗾	ゆばカフェ 葉月	Yuba cafe Hazuki	36.75385807083013, 139.59764074461089	cafe	cafe
https://x.com/akaihaato/status/1960096849362313646	雨の日だったけど、気分爽快になった朝食❕🔅	It was a rainy day, but breakfast totally lifted my spirits❕🔅	富士山の見える全室個室サウナ付旅館 しずく	Sauna Inn Ryokan Shizuku	35.42093261909258, 138.85212857116395	hotel	hotel
https://x.com/akaihaato/status/1959733770862694736	まろやか羊羹と、ひんやり冷たいお茶🍵 暑い日に、とても助かった。	Smooth yokan and a cup of refreshingly cold tea 🍵 It was such a relief on a hot day.	きび羊羮本家	Kibi Youkan, Gifu	35.286771985996346, 136.55626597977587	cafe	cafe
https://x.com/akaihaato/status/1958641258173247891	てっぺんの金平糖に思わず、ときめいた。	I couldn't help but feel a spark of joy at the konpeitou sitting right on top.	ゆばカフェ 葉月	Yuba cafe Hazuki	36.753861196507344, 139.59763664010123	cafe	cafe
https://www.youtube.com/post/UgkxRb-lXz-XoqF569HNbSH4PYWZ2nVtn7lj	今年一番、夏を感じた瞬間🎐みんなは何食べた？✨　In 岐阜県🗾	The moment I felt summer the most this year 🎐 What did you eat? ✨ - in Gifu Prefecture 🗾	大黒屋（養老町）	Daigokuya (大黒屋 養老町) 	35.28292912916678, 136.54049269197856	restaurant	restaurant
https://x.com/akaihaato/status/1957640916711129327	このコンパクトなサイズ感がたまらん。	This compact size is just irresistible.	上諏訪駅	Kamisuwa Station	36.04623174312994, 138.11618370618888	station	station
https://www.youtube.com/post/Ugkx93Ac7yAhamoYR30t6idKCg1if7DuoqfO	夏を最後まで、味わい尽くすぞ‼️　In 長野県🗾	I'm going to savor every last bit of summer‼ - in Nagano Prefecture 🗾	諏訪湖	Suwa Lake	36.05060154713887, 138.08929333348186	attraction	attraction
https://x.com/akaihaato/status/1957553359646519564	ふわふわトーストに珈琲フロート☕　寝不足の朝には、染みるんだ。	Fluffy toast and a coffee float ☕ It really hits the spot on a sleep-deprived morning.	ミルキーウェイ（河口湖）	Cafe Milky Way, Fujikawaguchiko	35.51079376343992, 138.7543878732319	cafe	cafe
https://www.youtube.com/post/UgkxkNxCl7HnWgLbi4vAWFmvCjkAm3LSDThe	旅の終わりに、ぷりぷりの駅弁はいかが❔　In 名古屋🗾	How about a plump and juicy station bento to end your journey❔ - in Nagoya 🗾	名古屋駅	Nagoya Station	35.17096230209612, 136.88153459487754	station	station
https://x.com/akaihaato/status/1955879005938442711	迫力満点‼️鉄板に乗ったナポリタン❕🍝	Full of impact‼️Napolitan served sizzling on a hot plate❕🍝	カフェテラス グレコ	Greko, Takamatsu	34.33759399835561, 134.04899049744682	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=262	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	ミルキーウェイ（河口湖）	Cafe Milky Way, Fujikawaguchiko	35.51079376343992, 138.7543878732319	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=329	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	喫茶ストリーマー	Kissa Streamer, Chuo City	35.68792199654589, 139.77726339461697	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=539	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	ジャズ喫茶いーぐる	Jazz Cafe Bar Eagle Yotsuya	35.686508050558054, 139.72818192043295	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=1158	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	古城（上野）	Kojo, Ueno	35.711717204103536, 139.77902983735993	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=1726	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	南珈琲店	Minami Coffee, Takamatsu	34.34086442893536, 134.04932275010322	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=1745	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	コーヒールーム ミニ	Coffee Room Mini (コーヒールーム ミニ)	34.34471063319478, 134.04883432355015	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=2041	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	カフェテラス グレコ	Greko, Takamatsu	34.33759399835561, 134.04899049744682	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=2548	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	喫茶フジ 新橋	Kissa Fuji Shimbashi	35.66644989887437, 139.75747901381106	cafe	cafe
https://youtu.be/ym0FabHu9bs?t=2964	【 プチ旅 】まったりお喋りしながら喫茶巡り！🌟【ホロライブ/赤井はあと】	[Mini Trip] Relaxed cafe hopping while chatting!🌟	コーヒーショップギャラン	Coffee Shop Galant, Ueno	35.71117688427561, 139.77527026129775	cafe	cafe
https://x.com/akaihaato/status/1952885540371800153	渋谷の入り組んでる所、ワクワクする❗️	The intricate parts of Shibuya are exciting❗️	宮下公園	Miyashita Park	35.66340253864529, 139.70158349011402	attraction	attraction
https://youtu.be/5bkZxiH-3R8?t=491	【放浪ライブラジオ】長野県行ってきた！！！【儒烏風亭らでん/赤井はあと #ReGLOSS 】	Trip to Nagano with Raden	茅野市尖石縄文考古館	Togariishi Museum of Jomon Archaeology, Chino City	36.01341776558007, 138.2343109021072	attraction	attraction
https://youtu.be/5bkZxiH-3R8?t=1765	【放浪ライブラジオ】長野県行ってきた！！！【儒烏風亭らでん/赤井はあと #ReGLOSS 】	Trip to Nagano with Raden	ホテル鷺乃湯	Hotel Saginoyu	36.04879810148697, 138.11326376940264	hotel	hotel
https://youtu.be/5bkZxiH-3R8?t=1923	【放浪ライブラジオ】長野県行ってきた！！！【儒烏風亭らでん/赤井はあと #ReGLOSS 】	Trip to Nagano with Raden	諏訪湖	Suwa Lake	36.05060154713887, 138.08929333348186	attraction	attraction
https://youtu.be/5bkZxiH-3R8?t=2148	【放浪ライブラジオ】長野県行ってきた！！！【儒烏風亭らでん/赤井はあと #ReGLOSS 】	Trip to Nagano with Raden	そば処とみや（諏訪）	Soba Tomiya, Suwa	36.049588176402516, 138.1152920330056	restaurant	restaurant
https://youtu.be/5bkZxiH-3R8?t=2995	【放浪ライブラジオ】長野県行ってきた！！！【儒烏風亭らでん/赤井はあと #ReGLOSS 】	Trip to Nagano with Raden	茅野駅	Chino Station, Nagano	35.99437278353785, 138.15231954104462	station	station
https://youtu.be/5bkZxiH-3R8?t=3251	【放浪ライブラジオ】長野県行ってきた！！！【儒烏風亭らでん/赤井はあと #ReGLOSS 】	Trip to Nagano with Raden	喫茶トミー（諏訪）	Kissa Tomy (喫茶トミー 諏訪)	36.044270102555416, 138.11762657088084	cafe	cafe
https://x.com/akaihaato/status/1952179453083455707	岐阜城に龍の木があった❗️	There was a dragon tree at Gifu Castle! ❗️	岐阜城	Gifu Castle	35.43391736398942, 136.78206113184694	attraction	attraction
https://x.com/akaihaato/status/1952143970831868239	セミの音に囲まれ、夏を浴びた瞬間。	Surrounded by the sound of cicadas, a moment bathed in summer.	大黒屋（養老町）	Daigokuya (大黒屋 養老町) 	35.28292912916678, 136.54049269197856	restaurant	restaurant
https://x.com/akaihaato/status/1951514708957368748	ここだけ時止まってた。気心腹口命 をここでも発見❕　嬉しかったから手ぬぐいお土産に買って帰った👏	Time felt frozen here. I even found ''trust, comfort, laughter, life'' here❕ I was so happy I bought a tenugui as a souvenir 👏	大黒屋（養老町）	Daigokuya (大黒屋 養老町) 	35.28292912916678, 136.54049269197856	restaurant	restaurant
https://x.com/akaihaato/status/1951514211919732747	うまいーっ‼️🍧	So delicious‼️🍧	大黒屋（養老町）	Daigokuya (大黒屋 養老町) 	35.28292912916678, 136.54049269197856	restaurant	restaurant
https://x.com/akaihaato/status/1951424731279925603	お爺ちゃん家の如く寛いだ	Relaxed like I was at Grandpa's house.	大黒屋（養老町）	Daigokuya (大黒屋 養老町) 	35.28292912916678, 136.54049269197856	restaurant	restaurant
https://x.com/akaihaato/status/1951302414864359626	養老町に流れる滝は、住民と同じくらい美しく優しかった。	The waterfall flowing through Yourou Town was as beautiful and gentle as its residents.	養老の滝	Yoro Falls	35.28040919029155, 136.53428094547903	attraction	attraction
https://www.youtube.com/post/UgkxqYn5Mp4AA6eZDvaFugm6w1VwNYStcjQ5	このお城も、色んな景色を見てきたのかな。　In 岐阜県🗾	I wonder if this castle has witnessed many different scenes over the years. - in Gifu Prefecture 🗾	岐阜城	Gifu Castle	35.43391736398942, 136.78206113184694	attraction	attraction
https://x.com/akaihaato/status/1950691416100962455	信長が天下を望んだ景色　今の世は、お陰様で平和です。	The view Nobunaga once dreamed of ruling. Thanks to it, the world is peaceful now.	岐阜城	Gifu Castle	35.43391736398942, 136.78206113184694	attraction	attraction
https://x.com/akaihaato/status/1949671412438094279	行きも帰りも　提灯で盛り上げてくれた、こんぴら参り	Both on the way there and back, the lanterns livened up the Konpira Pilgrimage.	琴平町	Kotohira-chou	34.18935556807962, 133.81960868780956	scenery	others
https://x.com/akaihaato/status/1949665470040432834	暖かくていい街並みだった	It was a warm and lovely townscape.	琴平町	Kotohira-chou	34.18907744534806, 133.81927533518757	scenery	others
https://x.com/akaihaato/status/1949363423504187629	🍒⸝⸝⸝♡︎	🍒⸝⸝⸝♡︎	二十四の瞳映画村	Twenty-Four Eyes Movie Studio	34.44585637528138, 134.28543715566548	attraction	attraction
https://x.com/akaihaato/status/1948973901440319984	夏はまだ、始まったばかり❗️	Summer has only just begun❗️	諏訪湖	Suwa Lake	36.05060154713887, 138.08929333348186	attraction	attraction
https://x.com/akaihaato/status/1945901689971802142	深夜の旅館徘徊	Late-night wandering around the ryokan	ことひら温泉 琴参閣	Kotosankaku, Kotohira Onsen	34.19014575097455, 133.81689052635554	hotel	hotel
https://x.com/akaihaato/status/1944918288640667659	さあ、出発だ❕	Now, let's set off❕	神奈川新町駅	Kanagawa-shimmachi Station	35.48103429454595, 139.63963282568358	station	station
https://x.com/akaihaato/status/1944098621487505653	人生って　嬉しいものですね	Life really is something to be joyful about.	諏訪湖	Suwa Lake	36.05060154713887, 138.08929333348186	attraction	attraction
https://x.com/akaihaato/status/1941637685384528313	線路の奥に聳え立つ城が、最高にかっこいい	The castle towering beyond the tracks looked incredibly cool.	高松城 艮櫓	Ushitorayagura Turret, Takamatsu Castle	34.34880324558172, 134.05202104993108	attraction	attraction
https://x.com/akaihaato/status/1940508594488979555	いままでで一番、神秘的な湖だった	The most mystical lake I've ever seen.	諏訪湖	Suwa Lake	36.05060154713887, 138.08929333348186	attraction	attraction
https://x.com/akaihaato/status/1940432895803523081	暖かく迎えてくれる街が好きだ。	I love towns that welcome you warmly.	片原町商店街	Kataharamachi Tobu (Eastern) Shopping Street	34.34565517569055, 134.05318246499937	shop	shop
https://x.com/akaihaato/status/1940280011896099249	給食たーいむっ❕✨	School lunch time❕✨	二十四の瞳映画村	Twenty-Four Eyes Movie Studio	34.44585637528138, 134.28543715566548	attraction	attraction
https://x.com/akaihaato/status/1940026032834375770	…そうだ、富士山を見に行こう。電車に乗り向かう。地下の商店街を抜けると、奥に潜む喫茶「フジ」…	...Let's go see Mt. Fuji. I boarded the train and headed out. After passing through the underground shopping street, tucked away in the back lies the hidden cafe Fuji...	喫茶フジ 新橋	Kissa Fuji Shimbashi	35.66644989887437, 139.75747901381106	cafe	cafe
https://x.com/akaihaato/status/1939998601360679122	ここの踏切の景色、贅沢すぎる…！	The view from this railroad crossing is just too luxurious…!	高松城	Takamatsu Castle	34.350362461964764, 134.0516301818784	attraction	attraction
https://x.com/akaihaato/status/1938442084907946122	こんぴら参り後に、可愛いものと甘味が染みた❕💘	After the Konpira Pilgrimage, I was soothed by cute things and sweet treats❕💘	ご利益や（琴平）	Goriyakuya, Kagawa	34.184676394333415, 133.81557854052772	cafe	cafe
https://x.com/akaihaato/status/1938215518978326597	江戸時代には「一生に一度こんぴら参り」と言われた場所。奥の院まで1,368段、階段を登った先にある景色。よかった❕	In the Edo period, it was said ''Once in a lifetime, a Konpira Pilgrimage''. The view after climbing 1,368 steps to the inner shrine... so worth it❕	琴平の石段	Stone stairway to Kotohira Shrine	34.184676951106155, 133.81522832564048	scenery	others
https://x.com/akaihaato/status/1937994659160330371	鳥居を潜るとどこまでも続く階段	Passing through the torii gate, the stairs stretch endlessly.	嚴魂神社（奧社）	Izutama Shrine (Oku-sha)	34.18810416018525, 133.80234088520368	attraction	attraction
https://x.com/akaihaato/status/1937987237079355436	早朝に見る琴電いい…❕🚃	Seeing the Kotoden train early in the morning is just perfect…❕🚃	琴電琴平駅	Kotoden-Kotohira Station	34.190895968015774, 133.8193059814612	station	station
https://x.com/akaihaato/status/1937352883927941534	今でもサイフォンで淹れたコーヒーが飲める珍しいお店。コーヒー喫茶「ミニ」☕️	A rare cafe where you can still drink siphon-brewed coffee. Coffee Cafe “Mini” ☕️	コーヒールーム ミニ	Coffee Room Mini (コーヒールーム ミニ)	34.34471063319478, 134.04883432355015	cafe	cafe
https://x.com/akaihaato/status/1937351310262882320	香川の喫茶店、また行きたいなぁ	I want to visit Kagawa's cafes again.	コーヒールーム ミニ	Coffee Room Mini (コーヒールーム ミニ)	34.34471063319478, 134.04883432355015	cafe	cafe
https://x.com/akaihaato/status/1937289059258519857	タイムスリップしたみたいな場所だった	It felt like a place where time had slipped away.	二十四の瞳映画村	Twenty-Four Eyes Movie Studio	34.44585637528138, 134.28543715566548	attraction	attraction
https://x.com/akaihaato/status/1937066295759118362	そろそろ下校時間。	It's about time for school to end.	二十四の瞳映画村	Twenty-Four Eyes Movie Studio	34.44585637528138, 134.28543715566548	attraction	attraction
https://x.com/akaihaato/status/1936900128146936038	一番乗りの学校だ〜っ❕	First to arrive at school—yay❕	二十四の瞳映画村	Twenty-Four Eyes Movie Studio	34.44585637528138, 134.28543715566548	attraction	attraction
https://x.com/akaihaato/status/1936288496186277906	うっまい！🍊	So tasty! 🍊	高松〜小豆島 土庄 フェリー	Ferry, Takamatsu - Tonosho (Shodoshima)	34.47973424162642, 134.13428031433767	sail	sail
